date,pv_ttc
2024-10-22,2110.0
2024-10-23,-1780.0
2024-10-25,170.0
2024-10-26,760.0
2024-10-27,329.9
2024-10-28,730.0
2024-10-31,2660.0
2024-11-02,710.0
2024-11-03,315.0
2024-11-04,330.0
2024-11-08,1598.08
2024-11-09,190.0
2024-11-12,3235.0
2024-11-13,250.0
2024-11-14,255.0
2024-11-15,840.0
2024-11-17,230.0
2024-11-18,550.0
2024-11-19,940.0
2024-11-20,1734.59
2024-11-21,1930.0
2024-11-22,1040.0
2024-11-24,936.07
2024-11-25,1811.6599999999999
2024-11-27,2476.18
2024-11-28,1090.0
2024-11-29,2460.0
2024-12-01,280.0
2024-12-02,2609.82
2024-12-03,835.0
2024-12-04,70.0
2024-12-05,1075.08
2024-12-06,1340.0
2024-12-07,900.0
2024-12-08,410.0
2024-12-09,1135.0
2024-12-10,3280.0
2024-12-11,2994.23
2024-12-12,2886.2799999999997
2024-12-13,820.0
2024-12-14,3495.0
2024-12-15,2181.1099999999997
2024-12-16,1711.87
2024-12-17,2040.25
2024-12-18,-817.73
2024-12-19,3090.0
2024-12-20,320.0
