id,SFA,lib,EAN,qty,Factory Price,Group Price,RETAIL,RETAIL_US
9305,"Boucles d'oreilles","170M n°2 Or 14k ",3666023088295,1,"114,07",468,1260,1830
9314,"Boucles d'oreilles","CHANDER 161 N°1 Or 14k ",3666023088387,1,"260,64",782,2110,3050
9364,Bague,"WATER 154 N°2 T53  Or 14k - Tourmaline ",3666023088875,1,"317,71",954,2580,3720
9365,Bague,"WATER 154 N°3 T53 Or 14k - Tourmaline ",3666023088882,1,"317,71",954,2580,3720
9395,Bague,"PUNCH T54 Or 14k - saphir ",3666023089186,1,"392,37",1178,3180,4590
9401,Bague,"DILA 42 T54 Argent Oxydé - Or 14k - Diamant ",3666023089247,1,"323,95",972,2620,3790
9402,Bague,"CORDOUE 43 T55 Argent Oxydé - Or 14k - Diamant ",3666023089254,1,"345,23",1036,2590,4040
9403,Bague,"CORDOUE 43 T57 Argent Oxydé - Or 14k - Diamant ",3666023089261,1,"345,23",1036,2590,4040
9418,Bague,"GIN T55 Or 14k - quartz ",3666023089414,1,"285,30",856,1880,3340
9426,Bague,"WATER 112 T56 N°1 Or 14k - Tourmaline ",3666023089490,1,"417,22",1210,3270,4720
9442,"Boucles d'oreilles","131A N°14 Or 14k ",3666023089650,1,"96,70",484,1310,1890
9464,Collier,"QUARTZY N°3 Or 14k - quartz ",3666023089872,1,"252,10",757,2045,2950
9468,Collier,"LIMI N°2 Or 14k ",3666023089919,1,"365,18",1242,3120,4840
9494,"Boucles d'oreilles","MOMO PAIR Or 14k ",3666023090175,1,"191,76",560,1400,2180
9503,"Boucles d'oreilles","ELY PAIR Or 14k - aigue marine ",3666023090267,1,"181,92",470,1190,1830
9519,Emballage,"Festive Pouch Multi-Multi ",3666023090427,-41,0,0,0,0
9520,Emballage,"BOITE PAD BRACELET black gold-black gold ",3666023090434,10,0,0,0,0
9525,Bracelet,"HARON Argent doré ",3666023090489,1,"35,72",108,295,420
9537,Bracelet,"SILVIO  Argent doré ",3666023090601,1,"28,31",85,230,330
9538,Collier,"MILTON Argent doré ",3666023090618,1,"72,97",219,595,850
9544,Bracelet,"ABEL WOMEN Argent ",3666023090670,1,"17,25",57,155,220
9545,Bracelet,"ABEL MEN Argent ",3666023090687,1,"19,01",62,170,240
9546,Bracelet,"BILLY WOMEN Argent ",3666023090694,1,"24,11",100,270,390
9547,Bracelet,"BILLY MEN Argent ",3666023090700,1,"26,44",115,310,450
9549,Bracelet,"ARTUSI S Gold Argent doré ",3666023090724,1,"46,04",125,315,490
9550,Bracelet,"ARTUSI S Black Argent doré ",3666023090731,1,"45,78",125,315,490
9551,Bracelet,"ARTUSI L Gold Argent doré ",3666023090748,1,"75,62",227,570,890
9552,Bracelet,"ARTUSI L Black Argent doré ",3666023090755,2,"73,84",227,570,890
9557,Bague,"ROME Or 14k 50",3666023090809,1,"262,09",626,1690,2440
9561,Bracelet,"PHILOE men Argent doré ",3666023090847,1,"30,89",93,255,360
9565,Collier,"EMA MULTI* Or 14k - Diamant ",3666023090885,1,"91,60",207,520,810
9573,Bague,"EMA MULTI* Or 14k - Diamant 51",3666023090960,1,"100,42",226,565,880
9574,Bague,"EMA MULTI* Or 14k - Diamant 53",3666023090977,1,"100,42",226,565,880
9575,Bague,"EMA MULTI* Or 14k - Diamant 55",3666023090984,1,"100,42",226,565,880
9579,"Boucles d'oreilles","EMA MULTI pair* Or 14k ",3666023091028,2,"196,88",443,1110,1730
9607,Bague,"BONIE MORGA Or 14k - Morganite 47",3666023091301,1,"127,56",250,680,980
